CASRN	Curated.name	DTXSID	Original SMILES	Original InChIKey	QSAR Ready SMILES	LLNA Binary hazard reference classification	LLNA Potency reference subcategorization	Reference
54464-57-2	OTNE	DTXSID7031290	CC1CC2=C(CC1(C)C(C)=O)C(C)(C)CCC2	InChI=1/C16H26O/c1-11-9-13-7-6-8-15(3,4)14(13)10-16(11,5)12(2)17/h11H,6-10H2,1-5H3	CC1CC2=C(CC1(C)C(C)=O)C(C)(C)CCC2	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
144-62-7	Oxalic acid	DTXSID0025816	OC(=O)C(O)=O	InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)	OC(=O)C(O)=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
15646-46-5	Oxazolone	DTXSID1049225	CCO\C=C1/N=C(OC1=O)C1=CC=CC=C1	InChI=1S/C12H11NO3/c1-2-15-8-10-12(14)16-11(13-10)9-6-4-3-5-7-9/h3-8H,2H2,1H3/b10-8-	CCOC=C1N=C(OC1=O)C1=CC=CC=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
61-33-6	Penicillin G	DTXSID5046934	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O	InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/t11-,12+,14-/m1/s1	CC1(C)SC2C(NC(=O)CC3=CC=CC=C3)C(=O)N2C1C(O)=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
87-86-5	Pentachlorophenol	DTXSID7021106	OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl	InChI=1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H	OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
2111-75-3	Perillaldehyde	DTXSID6051855	CC(=C)C1CCC(C=O)=CC1	InChI=1/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3,7,10H,1,4-6H2,2H3	CC(=C)C1CCC(C=O)=CC1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
3055-86-5	3-Phenoxypropanenitrile	DTXSID20184639	N#CCCOC1=CC=CC=C1	InChI=1S/C9H9NO/c10-7-4-8-11-9-5-2-1-3-6-9/h1-3,5-6H,4,8H2	N#CCCOC1=CC=CC=C1	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
122-78-1	Phenylacetaldehyde	DTXSID3021483	O=CCC1=CC=CC=C1	InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2	O=CCC1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
106-50-3	p-Phenylenediamine	DTXSID9021138	NC1=CC=C(N)C=C1	InChI=1S/C6H8N2/c7-5-1-2-6(8)4-3-5/h1-4H,7-8H2	NC1=CC=C(N)C=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
85-44-9	Phthalic anhydride	DTXSID2021159	O=C1OC(=O)C2=C1C=CC=C2	InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H	O=C1OC(=O)C2=C1C=CC=C2	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
121-79-9	Propyl gallate	DTXSID5021201	CCCOC(=O)C1=CC(O)=C(O)C(O)=C1	InChI=1S/C10H12O5/c1-2-3-15-10(14)6-4-7(11)9(13)8(12)5-6/h4-5,11-13H,2-3H2,1H3	CCCOC(=O)C1=CC(O)=C(O)C(O)=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
57-55-6	Propylene glycol	DTXSID0021206	CC(O)CO	InChI=1/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3	CC(O)CO	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
17369-59-4	3-Propylidenephthalide	DTXSID7025972	CCC=C1OC(=O)C2=CC=CC=C12	InChI=1S/C11H10O2/c1-2-5-10-8-6-3-4-7-9(8)11(12)13-10/h3-7H,2H2,1H3	CCC=C1OC(=O)C2=CC=CC=C12	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
110-86-1	Pyridine	DTXSID9021924	C1=CC=NC=C1	InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H	C1=CC=NC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
108-46-3	Resorcinol	DTXSID2021238	OC1=CC(O)=CC=C1	InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H	OC1=CC(O)=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
81-07-2	Saccharin	DTXSID5021251	O=C1NS(=O)(=O)C2=C1C=CC=C2	InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)	O=C1NS(=O)(=O)C2=C1C=CC=C2	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
116-26-7	Safranal	DTXSID7049398	CC1=C(C=O)C(C)(C)CC=C1	InChI=1S/C10H14O/c1-8-5-4-6-10(2,3)9(8)7-11/h4-5,7H,6H2,1-3H3	CC1=C(C=O)C(C)(C)CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
69-72-7	Salicylic acid	DTXSID7026368	OC(=O)C1=C(O)C=CC=C1	InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)	OC(=O)C1=C(O)C=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
151-21-3	Sodium lauryl sulfate	DTXSID1026031	[Na+].CCCCCCCCCCCCOS([O-])(=O)=O	InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1	CCCCCCCCCCCCOS(O)(=O)=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
63-74-1	Sulfanilamide	DTXSID4023622	NC1=CC=C(C=C1)S(N)(=O)=O	InChI=1S/C6H8N2O2S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,7H2,(H2,8,9,10)	NC1=CC=C(C=C1)S(N)(=O)=O	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
1154-59-2	Tetrachlorosalicylanilide	DTXSID4040767	OC1=C(C=C(Cl)C=C1Cl)C(=O)NC1=CC=C(Cl)C(Cl)=C1	InChI=1S/C13H7Cl4NO2/c14-6-3-8(12(19)11(17)4-6)13(20)18-7-1-2-9(15)10(16)5-7/h1-5,19H,(H,18,20)	OC1=C(C=C(Cl)C=C1Cl)C(=O)NC1=CC=C(Cl)C(Cl)=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
1118-71-4	2,2,6,6-Tetramethylheptane-3,5-dione	DTXSID7049396	CC(C)(C)C(=O)CC(=O)C(C)(C)C	InChI=1S/C11H20O2/c1-10(2,3)8(12)7-9(13)11(4,5)6/h7H2,1-6H3	CC(C)(C)C(=O)CC(=O)C(C)(C)C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
137-26-8	Thiram	DTXSID5021332	CN(C)C(=S)SSC(=S)N(C)C	InChI=1S/C6H12N2S4/c1-7(2)5(9)11-12-6(10)8(3)4/h1-4H3	CN(C)C(=S)SSC(=S)N(C)C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
59-02-9	alpha-Tocopherol	DTXSID0026339	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C	InChI=1S/C29H50O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h20-22,30H,9-19H2,1-8H3/t21-,22-,29-/m1/s1	CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
102-71-6	Triethanolamine	DTXSID9021392	OCCN(CCO)CCO	InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2	OCCN(CCO)CCO	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
552-30-7	Trimellitic anhydride	DTXSID7026235	OC(=O)C1=CC=C2C(=O)OC(=O)C2=C1	InChI=1S/C9H4O5/c10-7(11)4-1-2-5-6(3-4)9(13)14-8(5)12/h1-3H,(H,10,11)	OC(=O)C1=CC=C2C(=O)OC(=O)C2=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
533-75-5	Tropolone	DTXSID8049416	OC1=CC=CC=CC1=O	InChI=1S/C7H6O2/c8-6-4-2-1-3-5-7(6)9/h1-5H,(H,8,9)	O=C1CC=CC=CC1=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
112-45-8	Undec-10-enal	DTXSID3037757	C=CCCCCCCCCC=O	InChI=1S/C11H20O/c1-2-3-4-5-6-7-8-9-10-11-12/h2,11H,1,3-10H2	C=CCCCCCCCCC=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
121-33-5	Vanillin	DTXSID0021969	COC1=C(O)C=CC(C=O)=C1	InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3	COC1=C(O)C=CC(C=O)=C1	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
